,n1,DC,DP
0,0,2.15E-06,3.58E-06
1,1,9.54E-07,2.38E-06
2,2,2.15E-06,1.67E-06
3,3,2.15E-06,2.15E-06
4,4,2.86E-06,2.38E-06
5,5,3.58E-06,2.15E-06
6,6,6.20E-06,2.86E-06
7,7,1.14E-05,2.62E-06
8,8,1.65E-05,3.10E-06
9,9,2.48E-05,3.58E-06
10,10,4.48E-05,5.01E-06
11,11,5.70E-05,3.81E-06
12,12,9.25E-05,4.53E-06
13,13,0.000175714,5.72E-06
14,14,0.000216961,5.48E-06
15,15,0.000377655,7.39E-06
16,16,0.001751184,1.03E-05
17,17,0.001042843,1.17E-05
18,18,0.001768589,1.10E-05
19,19,0.002696514,1.14E-05
20,20,0.002789736,8.82E-06
21,21,0.004390955,8.58E-06
22,22,0.006952524,7.39E-06
23,23,0.011889696,1.53E-05
24,24,0.018786669,1.62E-05
25,25,0.03029871,1.65E-05
26,26,0.048626661,1.96E-05
27,27,0.079138994,1.72E-05
28,28,0.12544775,1.96E-05
29,29,0.310762644,2.19E-05
30,30,0.639540911,3.08E-05
31,31,1.050839424,2.86E-05
32,32,1.180953026,2.05E-05
33,33,1.455914021,1.72E-05
34,34,2.331032515,2.34E-05
35,35,3.819751263,2.91E-05
36,36,7.267314434,2.03E-05
37,37,11.08104229,2.31E-05
38,38,18.70031881,1.84E-05
39,39,29.4617672,2.98E-05
40,40,47.18174338,1.81E-05
